parcelid,neighborhood,latitude,longitude
04921589,E921,35.28629148,-80.73652762
03119575,D123,35.32651822,-80.96350351
07510641,H512,35.24864356,-80.83866096
19950356,T932,35.10792659,-80.99704876
21124137,V138,35.10892388,-80.80846238
00915138,A901,35.4338519,-80.90500708
04304153,E304,35.31462285,-80.81364879
19340602,T340,35.14201189,-80.69506658
22936152,W910,35.03772612,-80.79876157
23111423,X125,35.05396,-80.75103427
23112601,X115,35.05645893,-80.75909769
23117259,X120,35.07094747,-80.75511619
23125624,X113,35.07748538,-80.73720124
17513149,R510,35.16436126,-80.84692982
00726701,A730,35.47615238,-80.80815637
00929347,A926,35.43506515,-80.87756848
00942119,A930,35.43303491,-80.85454616
17701637,R720,35.16184396,-80.82810838
17705120,R710,35.1557081,-80.84285327
11325149,L301,35.21269119,-80.9945392
11903214,O506,35.21728732,-80.87644098
19346217,T329,35.15003648,-80.70876814
01747426,B718,35.40814008,-80.87124566
22756424,W736,35.0808276,-80.73948392
22914543,W928,35.0560024,-80.79626635
22922201,W912,35.04264614,-80.81522527
08701242,I712,35.25971335,-80.79964973
03149460,D124,35.31733368,-80.96537178
12706520,M710,35.21227609,-80.80739968
11121315,L111,35.24068502,-80.64251069
11109376,L116,35.23789509,-80.65450956
20955117,U923,35.12387314,-80.83702717
10806644,K813,35.23127722,-80.68000685
11138616,L110,35.25667507,-80.66398828
11141214,L125,35.24909655,-80.6402017
01516575,B507,35.38440964,-80.91810389
22914124,W928,35.06193701,-80.794067
02325255,C320,35.34077055,-80.92024837
14706431,O707,35.19486738,-80.86334125
14709213,O711,35.19205343,-80.85391543
14709527,O711,35.19423274,-80.8530517
14710147,O711,35.19292101,-80.85741874
11152115,L119,35.23532674,-80.66133385
11152205,L119,35.23184791,-80.66106302
12307602,M312,35.21175797,-80.85484621
05138435,F115,35.29827241,-80.70226452
20101116,U123,35.16269745,-80.92920432
20101176,U123,35.1613047,-80.92980779
03738159,D715,35.31268124,-80.88311509
06121457,G112,35.24533656,-80.914047
22943205,W956,35.0229878,-80.82334772
22943374,W956,35.01922598,-80.82392964
02949311,C919,35.37980143,-80.7494689
03925719,D911,35.29466481,-80.8826007
04525720,E509,35.28082151,-80.8220558
04530534,E514,35.28612084,-80.83230151
05138355,F115,35.30033548,-80.70350628
05138449,F115,35.29752993,-80.70182822
13927507,N903,35.19633612,-80.58564373
13932205,N911,35.20975722,-80.6024453
00911323,A930,35.43895825,-80.85346718
00943106,A926,35.43201488,-80.88643244
00918106,A921,35.41499513,-80.88456775
00926204,A911,35.42503203,-80.88387474
00915324,A913,35.43553749,-80.89686649
00915611,A913,35.44023859,-80.89542388
12107330,M110,35.2039353,-80.86013382
12308316,M312,35.21032548,-80.85391598
00727244,A731,35.48029837,-80.81461266
01945353,B915,35.41654267,-80.82851046
00919229,A921,35.4145789,-80.87756753
00919306,A921,35.41460457,-80.88232454
05114242,F120,35.30914318,-80.68451233
17330311,R320,35.12180746,-80.86414496
10506523,K516,35.27666678,-80.71468229
17502310,P338,35.18349174,-80.82844522
21932322,V911,35.08664186,-80.98296915
17508413,P339,35.17440724,-80.83387459
22937335,W914,35.02500215,-80.81236897
22938111,W923,35.05345872,-80.79819154
22941235,W940,35.04340401,-80.78309532
23107105,X101,35.07940758,-80.72877049
17510252,R711,35.16377203,-80.84024897
17516106,P342,35.17348134,-80.84182316
00942139,A930,35.43069099,-80.85666259
00919102,A921,35.41233155,-80.88190445
00919353,A921,35.41367926,-80.8813029
17903216,R925,35.14434666,-80.8370059
17904510,R922,35.14458419,-80.84452899
17905338,R922,35.14019282,-80.84219218
17909706,R919,35.13345456,-80.84652525
10503146,K501,35.27994049,-80.72197466
22761256,W729,35.09828643,-80.7262962
02901512,C940,35.34262244,-80.75924749
02323277,C311,35.33817036,-80.95831027
22923412,W911,35.0555583,-80.80174681
22929203,W940,35.04016772,-80.78251962
20101144,U123,35.16161086,-80.92799993
00907756,A933,35.42949973,-80.88007366
22934134,W932,35.03515698,-80.7952155
12111317,M310,35.20283763,-80.84697265
06121159,G112,35.24492312,-80.91098882
00514322,A524,35.46688984,-80.8650638
00911220,A930,35.43900972,-80.85215302
23111373,X125,35.05831665,-80.75168963
00537170,A551,35.45029452,-80.88103244
00911251,A930,35.4366819,-80.85084831
00931212,A902,35.4254134,-80.87592131
14511824,O511,35.20306562,-80.8879149
14706312,O707,35.19313674,-80.86318287
05132206,F111,35.29462659,-80.71699583
05138429,F115,35.29871608,-80.70260677
04521203,E510,35.28836022,-80.80745349
05134119,F140,35.32342895,-80.70404415
05134121,F140,35.32292634,-80.70409063
05135147,F111,35.2915852,-80.71299114
04313145,E314,35.31639244,-80.80217766
22943124,W956,35.02418691,-80.82048029
03120331,D119,35.32877855,-80.96860966
05136111,F133,35.31742594,-80.69771285
